№;Дата;Оперативный_№_ПС_РП;Оперативный_№_ВЛ_КЛ;Время_откл;Длительность_простоя_часы;Причина_откл;Недоотпуск_кВт_ч;Кол_во_потр_физ;Кол_во_потр_юрид;Погода_тип;Температура_C;Скорость_ветра_мс;Вид_ремонта;Месяц;День_недели;Час;Сезон;Кол_во_откл
977;2025-08-26 00:00:57.638425616;13;73;14:03:00;5.23;Повреждение кабеля;1461;281;142;ясно;26;10.6;текущий;8;1;14;Лето;1
981;2025-08-26 23:19:39.186124080;13;74;08:07:00;5.14;МТЗ (КЗ);4666;999;116;ясно;11;2.1;плановый;8;1;8;Лето;1
984;2025-08-27 16:48:40.346897932;3;73;19:06:00;2.57;МТЗ (КЗ);840;1648;295;дождь;-5;14.0;аварийный;8;2;19;Лето;1
990;2025-08-29 03:46:42.668445628;102;153;12:57:00;4.64;МТЗ (перегруз);1655;2755;98;облачно;28;4.7;текущий;8;4;12;Лето;1
992;2025-08-29 15:26:03.442294864;15;111;15:23:00;6.62;Обрыв провода;1565;2240;269;ясно;12;9.6;аварийный;8;4;15;Лето;1
995;2025-08-30 08:55:04.603068712;105;72;17:27:00;4.84;РПВ успешно;1346;2230;460;снег;-16;11.5;аварийный;8;5;17;Лето;1
999;2025-08-31 08:13:46.150767176;101;174;23:10:00;4.13;МТЗ (перегруз);3603;1317;386;ясно;-12;6.7;аварийный;8;6;23;Лето;1
1001;2025-08-31 19:53:06.924616412;9;72;18:19:00;2.39;Обрыв провода;1694;2726;190;ясно;28;3.8;плановый;8;6;18;Лето;1
1002;2025-09-01 01:42:47.311541028;3;7;00:26:00;1.82;МТЗ (перегруз);3208;1156;330;облачно;7;2.8;текущий;9;0;0;Осень;1
1009;2025-09-02 18:30:30.020013340;110;14;15:30:00;1.22;МТЗ (КЗ);3749;2720;337;облачно;-12;4.9;аварийный;9;1;15;Осень;1
1012;2025-09-03 11:59:31.180787192;17;131;14:12:00;2.46;Обрыв провода;401;1734;415;гроза;26;8.2;плановый;9;2;14;Осень;1
1021;2025-09-05 16:26:34.663108740;3;91;21:01:00;0.68;Повреждение кабеля;3689;349;84;облачно;-4;2.9;плановый;9;4;21;Осень;1
1025;2025-09-06 15:45:16.210807204;102;132;20:38:00;2.63;РПВ успешно;3781;2505;15;ясно;11;3.1;аварийный;9;5;20;Осень;1
1026;2025-09-06 21:34:56.597731820;5;107;03:21:00;6.77;Обрыв провода;1512;166;421;дождь;7;10.9;плановый;9;5;3;Осень;1
1028;2025-09-07 09:14:17.371581052;110;125;17:26:00;3.06;Повреждение кабеля;2381;2163;104;дождь;34;14.9;аварийный;9;6;17;Осень;1
1029;2025-09-07 15:03:57.758505668;7;56;16:12:00;0.74;РПВ успешно;278;180;294;дождь;-9;12.9;плановый;9;6;16;Осень;1
1030;2025-09-07 20:53:38.145430288;7;98;03:02:00;6.48;МТЗ (КЗ);4615;202;67;гроза;26;12.9;аварийный;9;6;3;Осень;1
1035;2025-09-09 02:02:00.080053368;158;128;19:23:00;0.64;Авария;290;545;383;ясно;-7;6.4;аварийный;9;1;19;Осень;1
1036;2025-09-09 07:51:40.466977984;15;30;21:10:00;7.25;РПВ успешно;2651;2667;448;гроза;22;10.6;плановый;9;1;21;Осень;1
1042;2025-09-10 18:49:42.788525684;5;172;01:34:00;6.11;МТЗ (перегруз);3598;2767;420;ясно;-25;3.7;плановый;9;2;1;Осень;1
1043;2025-09-11 00:39:23.175450300;13;54;07:25:00;4.14;Обрыв провода;635;1737;170;ясно;33;13.3;аварийный;9;3;7;Осень;1
1044;2025-09-11 06:29:03.562374916;17;162;13:44:00;3.21;РПВ успешно;376;617;146;дождь;24;4.7;текущий;9;3;13;Осень;1
1048;2025-09-12 05:47:45.110073380;152;58;05:18:00;3.08;МТЗ (КЗ);4536;1077;26;ясно;-11;10.5;плановый;9;4;5;Осень;1
1049;2025-09-12 11:37:25.496997996;152;61;01:54:00;6.65;РПВ успешно;855;1367;412;ясно;-11;9.4;текущий;9;4;1;Осень;1
1064;2025-09-16 03:02:31.300867244;101;74;18:46:00;2.47;Повреждение кабеля;4201;729;40;облачно;1;10.7;аварийный;9;1;18;Осень;1
1070;2025-09-17 14:00:33.622414944;11;22;00:10:00;0.54;Повреждение кабеля;4572;50;428;облачно;20;4.5;аварийный;9;2;0;Осень;1
1072;2025-09-18 01:39:54.396264176;5;62;23:08:00;2.81;МТЗ (перегруз);2465;1127;167;дождь;-5;8.2;плановый;9;3;23;Осень;1
1075;2025-09-18 19:08:55.557038024;110;101;12:17:00;1.69;Плановый ремонт;206;744;131;гроза;-6;8.7;текущий;9;3;12;Осень;1
1076;2025-09-19 00:58:35.943962640;13;79;14:27:00;1.89;Обрыв провода;4874;1187;153;ясно;23;6.7;аварийный;9;4;14;Осень;1
1093;2025-09-23 04:03:02.521681120;7;118;15:15:00;3.66;Обрыв провода;3255;1945;147;ясно;15;3.3;аварийный;9;1;15;Осень;1
1096;2025-09-23 21:32:03.682454968;110;63;02:51:00;4.3;МТЗ (КЗ);1587;407;107;облачно;-14;14.4;текущий;9;1;2;Осень;1
1102;2025-09-25 08:30:06.004002668;7;87;14:12:00;5.34;Повреждение опоры;1349;1732;45;облачно;-14;10.5;плановый;9;3;14;Осень;1
1108;2025-09-26 19:28:08.325550368;102;12;19:58:00;4.95;МТЗ (КЗ);4625;1807;83;снег;17;1.3;аварийный;9;4;19;Осень;1
1110;2025-09-27 07:07:29.099399600;105;122;04:22:00;6.33;МТЗ (перегруз);1460;2150;453;ясно;-5;11.2;плановый;9;5;4;Осень;1
1115;2025-09-28 12:15:51.034022680;7;140;05:43:00;0.83;РПВ успешно;4779;1946;144;дождь;5;8.0;текущий;9;6;5;Осень;1
1117;2025-09-28 23:55:11.807871912;7;85;21:56:00;7.76;Обрыв провода;691;1114;329;облачно;-18;4.9;аварийный;9;6;21;Осень;1
1118;2025-09-29 05:44:52.194796532;11;73;01:07:00;2.31;МТЗ (перегруз);789;1555;468;дождь;-18;11.6;аварийный;9;0;1;Осень;1
1123;2025-09-30 10:53:14.129419612;15;167;19:23:00;3.16;МТЗ (КЗ);4555;1455;293;ясно;18;4.7;плановый;9;1;19;Осень;1
1124;2025-09-30 16:42:54.516344228;158;145;18:49:00;0.6;МТЗ (КЗ);119;2114;381;облачно;7;6.4;аварийный;9;1;18;Осень;1
1125;2025-09-30 22:32:34.903268844;11;48;09:26:00;2.12;Повреждение опоры;3915;34;330;дождь;31;0.8;плановый;9;1;9;Осень;1
1126;2025-10-01 04:22:15.290193460;2;33;20:01:00;2.17;МТЗ (КЗ);645;444;369;ясно;-8;5.0;аварийный;10;2;20;Осень;1
1127;2025-10-01 10:11:55.677118076;11;53;09:22:00;6.16;Авария;3307;1194;430;ясно;-1;4.3;текущий;10;2;9;Осень;1
1131;2025-10-02 09:30:37.224816544;101;140;23:33:00;0.54;РПВ успешно;4202;2169;4;ясно;28;3.7;аварийный;10;3;23;Осень;1
1135;2025-10-03 08:49:18.772515008;9;108;17:12:00;6.9;Повреждение кабеля;4427;1237;15;ясно;34;12.0;аварийный;10;4;17;Осень;1
1137;2025-10-03 20:28:39.546364240;110;77;08:52:00;2.6;Повреждение опоры;809;2696;262;дождь;6;4.5;текущий;10;4;8;Осень;1
1138;2025-10-04 02:18:19.933288860;158;65;03:10:00;5.6;Плановый ремонт;3784;1254;340;облачно;19;6.6;плановый;10;5;3;Осень;1
1139;2025-10-04 08:08:00.320213476;9;144;03:39:00;4.57;МТЗ (перегруз);4502;265;495;ясно;-17;8.1;плановый;10;5;3;Осень;1
1142;2025-10-05 01:37:01.480987324;15;77;06:41:00;3.96;Повреждение опоры;1115;431;323;облачно;-19;10.5;текущий;10;6;6;Осень;1
1144;2025-10-05 13:16:22.254836556;5;143;05:14:00;0.6;МТЗ (КЗ);4452;2579;395;гроза;5;9.6;текущий;10;6;5;Осень;1
1150;2025-10-07 00:14:24.576384256;105;63;22:33:00;6.07;МТЗ (КЗ);4574;443;206;ясно;-10;0.9;аварийный;10;1;22;Осень;1
1152;2025-10-07 11:53:45.350233488;7;17;15:58:00;0.55;РПВ успешно;4706;1479;293;дождь;-22;10.5;аварийный;10;1;15;Осень;1
1154;2025-10-07 23:33:06.124082720;3;126;14:30:00;6.03;МТЗ (КЗ);4072;698;379;ясно;31;12.0;плановый;10;1;14;Осень;1
1160;2025-10-09 10:31:08.445630420;5;124;16:11:00;4.44;МТЗ (КЗ);3984;216;150;гроза;11;6.0;текущий;10;3;16;Осень;1
1164;2025-10-10 09:49:49.993328884;110;100;19:51:00;7.79;МТЗ (перегруз);3882;2485;116;ясно;8;12.3;аварийный;10;4;19;Осень;1
1167;2025-10-11 03:18:51.154102736;7;138;09:37:00;2.88;Обрыв провода;1266;2661;368;ясно;-5;11.5;аварийный;10;5;9;Осень;1
1168;2025-10-11 09:08:31.541027352;7;185;19:39:00;3.48;МТЗ (перегруз);3605;1879;96;облачно;17;8.0;аварийный;10;5;19;Осень;1
1178;2025-10-13 19:25:15.410273516;11;5;23:20:00;4.68;МТЗ (КЗ);4164;1417;352;гроза;-23;12.3;аварийный;10;0;23;Осень;1
1182;2025-10-14 18:43:56.957971980;110;180;11:44:00;6.97;РПВ успешно;422;1530;86;дождь;-24;14.1;текущий;10;1;11;Осень;1
1187;2025-10-15 23:52:18.892595064;102;63;03:18:00;5.89;Авария;807;2820;454;облачно;10;1.5;аварийный;10;2;3;Осень;1
1188;2025-10-16 05:41:59.279519680;15;196;23:28:00;1.9;РПВ успешно;4159;1870;145;ясно;-7;9.2;аварийный;10;3;23;Осень;1
1190;2025-10-16 17:21:20.053368912;101;129;14:31:00;3.51;Обрыв провода;969;1733;418;облачно;-7;5.1;текущий;10;3;14;Осень;1
1191;2025-10-16 23:11:00.440293528;13;129;09:46:00;1.23;МТЗ (перегруз);4248;2949;341;облачно;20;1.2;текущий;10;3;9;Осень;1
1194;2025-10-17 16:40:01.601067376;3;54;01:06:00;3.17;МТЗ (перегруз);2490;2052;200;ясно;25;14.4;аварийный;10;4;1;Осень;1
1202;2025-10-19 15:17:24.696464308;110;125;05:54:00;0.49;МТЗ (КЗ);1208;1730;350;облачно;-21;10.7;аварийный;10;6;5;Осень;1
1210;2025-10-21 13:54:47.791861240;105;119;01:05:00;3.99;Авария;3300;427;43;облачно;-20;12.7;аварийный;10;1;1;Осень;1
1211;2025-10-21 19:44:28.178785856;158;86;09:50:00;0.67;МТЗ (перегруз);737;666;6;ясно;-24;1.9;аварийный;10;1;9;Осень;1
1212;2025-10-22 01:34:08.565710472;158;69;09:08:00;1.82;МТЗ (КЗ);2633;161;442;облачно;-22;3.6;аварийный;10;2;9;Осень;1
1214;2025-10-22 13:13:29.339559704;11;40;12:03:00;6.0;МТЗ (перегруз);1817;1274;354;облачно;-24;0.1;аварийный;10;2;12;Осень;1
1220;2025-10-24 00:11:31.661107404;7;140;23:04:00;5.57;Авария;1882;1858;180;облачно;-13;13.7;аварийный;10;4;23;Осень;1
1223;2025-10-24 17:40:32.821881252;105;120;04:25:00;4.68;Плановый ремонт;1979;1149;161;облачно;5;3.5;аварийный;10;4;4;Осень;1
1225;2025-10-25 05:19:53.595730488;110;185;01:49:00;3.62;РПВ успешно;1624;1590;394;ясно;-3;1.6;текущий;10;5;1;Осень;1
1228;2025-10-25 22:48:54.756504336;11;113;07:36:00;6.14;МТЗ (КЗ);2230;2843;165;ясно;11;6.5;аварийный;10;5;7;Осень;1
1230;2025-10-26 10:28:15.530353568;11;82;22:32:00;0.92;РПВ успешно;3789;2571;349;облачно;-10;1.6;текущий;10;6;22;Осень;1
1234;2025-10-27 09:46:57.078052032;7;155;06:41:00;7.21;МТЗ (перегруз);2550;480;475;облачно;-11;6.8;текущий;10;0;6;Осень;1
1238;2025-10-28 09:05:38.625750500;2;4;02:55:00;2.31;Плановый ремонт;1943;1475;202;дождь;-5;6.1;аварийный;10;1;2;Осень;1
1239;2025-10-28 14:55:19.012675116;110;111;17:58:00;5.21;МТЗ (перегруз);2768;2672;384;снег;12;8.8;аварийный;10;1;17;Осень;1
1240;2025-10-28 20:44:59.399599732;15;192;09:04:00;6.88;РПВ успешно;279;198;414;облачно;-14;6.0;плановый;10;1;9;Осень;1
1249;2025-10-31 01:12:02.881921280;152;15;15:00:00;0.19;МТЗ (перегруз);574;897;207;облачно;-5;13.0;текущий;10;4;15;Осень;1
1252;2025-10-31 18:41:04.042695128;5;139;07:07:00;3.62;Повреждение кабеля;535;2590;199;снег;-5;11.4;аварийный;10;4;7;Осень;1
1257;2025-11-01 23:49:25.977318212;7;138;21:15:00;6.97;МТЗ (перегруз);598;1375;326;облачно;14;1.9;текущий;11;5;21;Осень;1
1258;2025-11-02 05:39:06.364242828;17;14;20:32:00;4.38;МТЗ (КЗ);4748;225;460;ясно;25;3.9;плановый;11;6;20;Осень;1
1263;2025-11-03 10:47:28.298865908;7;46;01:24:00;6.1;Повреждение кабеля;3547;957;152;ясно;-23;9.0;аварийный;11;0;1;Осень;1
1265;2025-11-03 22:26:49.072715144;102;87;01:11:00;5.42;РПВ успешно;4681;1401;211;облачно;-9;6.5;аварийный;11;0;1;Осень;1
1267;2025-11-04 10:06:09.846564376;105;46;22:10:00;1.82;Повреждение кабеля;1886;2902;448;ясно;-16;11.4;текущий;11;1;22;Осень;1
1269;2025-11-04 21:45:30.620413608;101;182;14:15:00;4.63;МТЗ (КЗ);2802;1763;114;снег;-21;6.1;плановый;11;1;14;Осень;1
1270;2025-11-05 03:35:11.007338224;2;41;09:49:00;4.56;МТЗ (КЗ);4404;2064;48;снег;11;14.2;аварийный;11;2;9;Осень;1
1272;2025-11-05 15:14:31.781187456;110;117;03:31:00;5.45;МТЗ (КЗ);596;1145;285;ясно;31;8.6;текущий;11;2;3;Осень;1
1274;2025-11-06 02:53:52.555036692;105;22;23:42:00;5.9;Повреждение опоры;2165;2349;179;дождь;24;1.9;аварийный;11;3;23;Осень;1
1275;2025-11-06 08:43:32.941961308;110;128;11:38:00;0.24;МТЗ (перегруз);651;1630;272;снег;5;2.1;аварийный;11;3;11;Осень;1
1277;2025-11-06 20:22:53.715810540;15;142;00:34:00;1.89;МТЗ (перегруз);2053;1547;242;ясно;33;13.7;аварийный;11;3;0;Осень;1
1285;2025-11-08 19:00:16.811207472;13;106;08:48:00;2.1;МТЗ (перегруз);1102;2519;408;ясно;30;11.9;текущий;11;5;8;Осень;1
1286;2025-11-09 00:49:57.198132088;102;185;16:43:00;7.2;Плановый ремонт;1972;2683;61;ясно;12;0.3;плановый;11;6;16;Осень;1
1287;2025-11-09 06:39:37.585056704;7;112;05:12:00;2.19;Повреждение кабеля;1165;1085;292;ясно;8;11.9;аварийный;11;6;5;Осень;1
1290;2025-11-10 00:08:38.745830552;15;67;17:11:00;6.28;МТЗ (перегруз);3919;914;409;ясно;-23;9.4;аварийный;11;0;17;Осень;1
1291;2025-11-10 05:58:19.132755168;11;163;22:22:00;2.32;МТЗ (перегруз);858;181;63;дождь;21;13.9;аварийный;11;0;22;Осень;1
1296;2025-11-11 11:06:41.067378252;5;162;04:29:00;0.66;МТЗ (КЗ);3956;406;2;облачно;-2;6.5;текущий;11;1;4;Осень;1
1303;2025-11-13 03:54:23.775850568;3;180;13:43:00;7.0;МТЗ (перегруз);3747;500;254;ясно;4;7.6;аварийный;11;3;13;Осень;1
1309;2025-11-14 14:52:26.097398264;2;155;07:31:00;4.73;РПВ успешно;1969;2739;412;облачно;15;2.2;плановый;11;4;7;Осень;1
1310;2025-11-14 20:42:06.484322880;2;135;11:07:00;1.97;Повреждение кабеля;3062;1315;132;ясно;-13;0.4;текущий;11;4;11;Осень;1
1311;2025-11-15 02:31:46.871247496;102;117;15:12:00;7.97;РПВ успешно;802;2479;385;снег;20;13.6;аварийный;11;5;15;Осень;1
1315;2025-11-16 01:50:28.418945964;15;157;05:13:00;2.75;Авария;4056;1685;98;облачно;25;1.9;аварийный;11;6;5;Осень;1
1316;2025-11-16 07:40:08.805870580;13;138;20:54:00;1.84;МТЗ (перегруз);947;2978;268;снег;32;6.3;текущий;11;6;20;Осень;1
1317;2025-11-16 13:29:49.192795196;3;187;05:54:00;2.35;РПВ успешно;2420;624;328;ясно;-21;14.5;аварийный;11;6;5;Осень;1
1320;2025-11-17 06:58:50.353569044;13;12;12:40:00;2.71;МТЗ (перегруз);3220;1439;355;гроза;32;3.2;аварийный;11;0;12;Осень;1
1321;2025-11-17 12:48:30.740493660;11;95;09:40:00;0.26;Повреждение опоры;2161;764;257;ясно;-24;10.2;плановый;11;0;9;Осень;1
1322;2025-11-17 18:38:11.127418276;105;78;15:00:00;1.06;Повреждение кабеля;4035;1426;293;дождь;31;1.7;плановый;11;0;15;Осень;1
1323;2025-11-18 00:27:51.514342896;2;44;03:27:00;7.19;Плановый ремонт;4825;2563;243;ясно;13;11.9;аварийный;11;1;3;Осень;1
1326;2025-11-18 17:56:52.675116744;9;69;02:26:00;1.28;РПВ успешно;722;2480;93;ясно;25;14.4;аварийный;11;1;2;Осень;1
1327;2025-11-18 23:46:33.062041360;102;105;02:01:00;5.36;Повреждение опоры;1462;2749;428;снег;-6;7.5;аварийный;11;1;2;Осень;1
1332;2025-11-20 04:54:54.996664440;101;1;18:04:00;6.99;Повреждение кабеля;970;834;370;облачно;4;1.1;текущий;11;3;18;Осень;1
1333;2025-11-20 10:44:35.383589060;17;182;02:59:00;7.83;РПВ успешно;3593;1791;160;ясно;24;10.0;плановый;11;3;2;Осень;1
1334;2025-11-20 16:34:15.770513676;13;109;09:38:00;7.71;Плановый ремонт;777;889;302;облачно;14;10.8;аварийный;11;3;9;Осень;1
1338;2025-11-21 15:52:57.318212140;17;69;21:15:00;5.74;Повреждение опоры;4291;1808;3;облачно;34;4.3;аварийный;11;4;21;Осень;1
1339;2025-11-21 21:42:37.705136756;13;151;20:13:00;4.69;МТЗ (перегруз);450;2114;490;гроза;-12;7.9;текущий;11;4;20;Осень;1
1344;2025-11-23 02:50:59.639759840;3;18;08:32:00;7.48;Обрыв провода;1604;2788;325;дождь;11;7.9;текущий;11;6;8;Осень;1
1347;2025-11-23 20:20:00.800533688;7;189;16:15:00;5.55;Повреждение опоры;2113;1457;11;ясно;-5;14.5;аварийный;11;6;16;Осень;1
1348;2025-11-24 02:09:41.187458304;5;134;23:26:00;6.1;МТЗ (перегруз);3725;446;316;ясно;-6;11.6;аварийный;11;0;23;Осень;1
1350;2025-11-24 13:49:01.961307536;102;175;14:44:00;6.84;МТЗ (перегруз);3303;2871;254;дождь;-2;2.8;аварийный;11;0;14;Осень;1
1351;2025-11-24 19:38:42.348232152;15;164;15:23:00;7.56;Авария;2122;2345;115;облачно;-8;13.7;аварийный;11;0;15;Осень;1
1353;2025-11-25 07:18:03.122081388;158;106;21:18:00;1.7;МТЗ (перегруз);2032;442;495;облачно;4;4.5;аварийный;11;1;21;Осень;1
1354;2025-11-25 13:07:43.509006004;152;165;14:28:00;4.36;МТЗ (перегруз);3251;93;270;облачно;-4;14.0;текущий;11;1;14;Осень;1
1358;2025-11-26 12:26:25.056704468;13;139;04:17:00;1.43;РПВ успешно;1787;914;482;ясно;18;8.1;аварийный;11;2;4;Осень;1
1359;2025-11-26 18:16:05.443629084;11;75;06:24:00;5.97;Обрыв провода;4705;1119;148;ясно;18;0.2;текущий;11;2;6;Осень;1
1361;2025-11-27 05:55:26.217478316;3;9;18:34:00;0.54;МТЗ (перегруз);292;2810;336;дождь;8;13.3;аварийный;11;3;18;Осень;1
1368;2025-11-28 22:43:08.925950632;15;172;16:31:00;6.33;МТЗ (КЗ);3383;2907;343;облачно;-2;3.0;плановый;11;4;16;Осень;1
1369;2025-11-29 04:32:49.312875248;158;24;00:17:00;6.75;МТЗ (перегруз);4813;2437;198;облачно;8;7.8;аварийный;11;5;0;Осень;1
1378;2025-12-01 08:59:52.795196796;110;5;00:48:00;2.22;РПВ успешно;4832;1315;440;дождь;-19;10.6;аварийный;12;0;0;Зима;1
1379;2025-12-01 14:49:33.182121412;11;53;17:37:00;7.89;Обрыв провода;3233;2466;6;облачно;-21;8.3;аварийный;12;0;17;Зима;1
1380;2025-12-01 20:39:13.569046028;110;83;15:59:00;5.24;Повреждение опоры;2872;928;188;ясно;8;8.2;текущий;12;0;15;Зима;1
1383;2025-12-02 14:08:14.729819880;7;25;19:13:00;0.78;РПВ успешно;2216;344;335;ясно;-16;6.0;текущий;12;1;19;Зима;1
1387;2025-12-03 13:26:56.277518344;7;83;21:02:00;1.61;РПВ успешно;4915;2773;309;снег;33;4.5;текущий;12;2;21;Зима;1
1388;2025-12-03 19:16:36.664442960;5;111;01:28:00;4.44;РПВ успешно;4328;721;356;облачно;7;12.7;аварийный;12;2;1;Зима;1
1393;2025-12-05 00:24:58.599066044;3;32;04:16:00;3.51;Авария;4282;2433;86;ясно;-19;10.8;плановый;12;4;4;Зима;1
1395;2025-12-05 12:04:19.372915276;15;183;13:23:00;3.04;МТЗ (перегруз);1761;1041;294;облачно;23;2.5;текущий;12;4;13;Зима;1
1397;2025-12-05 23:43:40.146764508;102;96;14:43:00;6.8;Плановый ремонт;2405;1407;463;ясно;7;14.0;текущий;12;4;14;Зима;1
1400;2025-12-06 17:12:41.307538356;3;115;12:00:00;0.71;МТЗ (КЗ);1465;978;368;ясно;-15;7.0;аварийный;12;5;12;Зима;1
1401;2025-12-06 23:02:21.694462976;9;190;21:35:00;4.12;МТЗ (перегруз);873;2442;55;дождь;4;10.0;аварийный;12;5;21;Зима;1
1407;2025-12-08 10:00:24.016010672;3;58;06:11:00;0.18;МТЗ (перегруз);4376;883;61;гроза;14;14.3;плановый;12;0;6;Зима;1
1408;2025-12-08 15:50:04.402935288;2;36;23:43:00;2.0;РПВ успешно;1166;635;283;дождь;-11;2.5;текущий;12;0;23;Зима;1
1411;2025-12-09 09:19:05.563709140;3;112;13:26:00;4.25;Обрыв провода;2718;1064;228;гроза;17;1.6;аварийный;12;1;13;Зима;1
1418;2025-12-11 02:06:48.272181452;2;86;07:16:00;5.85;Повреждение кабеля;2434;819;203;ясно;1;4.9;аварийный;12;3;7;Зима;1
1422;2025-12-12 01:25:29.819879920;110;16;16:15:00;7.12;МТЗ (КЗ);4311;1583;180;ясно;10;0.7;аварийный;12;4;16;Зима;1
1424;2025-12-12 13:04:50.593729152;5;167;09:47:00;3.15;Плановый ремонт;451;984;223;ясно;18;7.0;аварийный;12;4;9;Зима;1
1425;2025-12-12 18:54:30.980653768;158;62;04:17:00;3.16;Обрыв провода;2853;1119;414;снег;30;7.4;аварийный;12;4;4;Зима;1
1428;2025-12-13 12:23:32.141427616;7;187;15:53:00;2.22;МТЗ (перегруз);2885;2748;333;облачно;24;15.0;текущий;12;5;15;Зима;1
1429;2025-12-13 18:13:12.528352232;9;54;11:33:00;0.49;МТЗ (перегруз);3111;2375;22;снег;-19;0.9;текущий;12;5;11;Зима;1
1430;2025-12-14 00:02:52.915276852;110;162;16:43:00;5.56;Плановый ремонт;876;1900;339;дождь;19;8.1;аварийный;12;6;16;Зима;1
1440;2025-12-16 10:19:36.784523016;158;40;18:02:00;3.91;Повреждение кабеля;4228;2360;261;ясно;22;14.3;аварийный;12;1;18;Зима;1
1441;2025-12-16 16:09:17.171447632;101;113;11:44:00;2.46;МТЗ (КЗ);3250;58;163;облачно;26;5.6;аварийный;12;1;11;Зима;1
1442;2025-12-16 21:58:57.558372248;101;93;06:32:00;7.87;Повреждение опоры;3450;44;446;ясно;2;13.7;плановый;12;1;6;Зима;1
1444;2025-12-17 09:38:18.332221480;101;140;01:06:00;0.82;Повреждение опоры;3006;1931;358;гроза;-15;11.1;текущий;12;2;1;Зима;1
1451;2025-12-19 02:26:01.040693796;3;77;04:01:00;1.94;МТЗ (перегруз);4087;582;25;ясно;13;13.0;аварийный;12;4;4;Зима;1
1452;2025-12-19 08:15:41.427618412;102;19;03:57:00;7.77;РПВ успешно;1646;1637;285;облачно;-1;10.4;текущий;12;4;3;Зима;1
1453;2025-12-19 14:05:21.814543028;7;92;10:32:00;2.61;РПВ успешно;1125;2523;488;дождь;1;8.3;аварийный;12;4;10;Зима;1
1454;2025-12-19 19:55:02.201467644;7;53;16:21:00;4.9;МТЗ (КЗ);1927;1709;5;облачно;-13;9.8;аварийный;12;4;16;Зима;1
1458;2025-12-20 19:13:43.749166108;101;149;13:15:00;6.62;МТЗ (перегруз);4558;1765;7;облачно;-1;9.9;плановый;12;5;13;Зима;1
1461;2025-12-21 12:42:44.909939960;101;91;12:32:00;2.37;МТЗ (перегруз);4522;1417;333;ясно;21;9.2;аварийный;12;6;12;Зима;1
1462;2025-12-21 18:32:25.296864576;17;12;11:28:00;7.23;МТЗ (КЗ);3462;66;342;ясно;-15;7.8;аварийный;12;6;11;Зима;1
1463;2025-12-22 00:22:05.683789192;11;198;03:23:00;6.28;МТЗ (перегруз);2252;1219;248;ясно;-20;10.1;текущий;12;0;3;Зима;1
1466;2025-12-22 17:51:06.844563040;3;51;23:47:00;4.24;Повреждение кабеля;4884;1139;192;дождь;10;4.3;аварийный;12;0;23;Зима;1
1467;2025-12-22 23:40:47.231487656;102;39;06:10:00;6.56;РПВ успешно;3267;323;183;ясно;5;8.8;аварийный;12;0;6;Зима;1
1468;2025-12-23 05:30:27.618412272;158;15;02:42:00;4.01;Плановый ремонт;2928;1236;270;ясно;2;13.4;текущий;12;1;2;Зима;1
1470;2025-12-23 17:09:48.392261508;102;82;19:40:00;1.51;МТЗ (перегруз);1116;2896;421;ясно;-21;4.4;текущий;12;1;19;Зима;1
1471;2025-12-23 22:59:28.779186124;102;148;22:20:00;6.08;МТЗ (КЗ);839;1674;285;ясно;-2;12.1;аварийный;12;1;22;Зима;1
1472;2025-12-24 04:49:09.166110740;17;55;12:15:00;5.11;МТЗ (КЗ);4851;1369;421;облачно;23;11.3;аварийный;12;2;12;Зима;1
1475;2025-12-24 22:18:10.326884588;7;156;10:02:00;0.67;Обрыв провода;4861;2488;41;дождь;6;7.2;текущий;12;2;10;Зима;1
1476;2025-12-25 04:07:50.713809204;13;122;09:01:00;2.51;МТЗ (перегруз);1016;317;90;ясно;8;12.8;текущий;12;3;9;Зима;1
1477;2025-12-25 09:57:31.100733820;105;100;07:44:00;0.88;МТЗ (перегруз);195;2773;361;снег;-17;2.3;текущий;12;3;7;Зима;1
1478;2025-12-25 15:47:11.487658436;152;16;00:50:00;0.7;Повреждение опоры;3246;1370;191;ясно;-18;1.3;плановый;12;3;0;Зима;1
1481;2025-12-26 09:16:12.648432288;5;152;23:03:00;5.35;Обрыв провода;2046;1435;252;ясно;-24;2.1;текущий;12;4;23;Зима;1
1487;2025-12-27 20:14:14.969979984;17;15;02:56:00;5.83;МТЗ (перегруз);2417;2610;214;ясно;-3;14.4;аварийный;12;5;2;Зима;1
1488;2025-12-28 02:03:55.356904600;102;191;08:59:00;0.6;РПВ успешно;2797;591;292;ясно;15;8.2;текущий;12;6;8;Зима;1
1491;2025-12-28 19:32:56.517678452;110;48;20:27:00;6.47;МТЗ (перегруз);4861;828;103;ясно;11;6.8;плановый;12;6;20;Зима;1
1492;2025-12-29 01:22:36.904603068;102;1;06:20:00;4.07;МТЗ (КЗ);3259;2162;33;дождь;22;8.5;аварийный;12;0;6;Зима;1
1493;2025-12-29 07:12:17.291527684;110;65;12:00:00;5.54;МТЗ (КЗ);589;2792;22;ясно;17;2.2;аварийный;12;0;12;Зима;1
1496;2025-12-30 00:41:18.452301532;13;123;16:46:00;7.67;Повреждение опоры;4862;2372;433;дождь;4;0.8;текущий;12;1;16;Зима;1
1499;2025-12-30 18:10:19.613075384;110;54;02:08:00;6.49;Повреждение опоры;851;52;73;гроза;-20;3.5;аварийный;12;1;2;Зима;1
