№;Дата;Оперативный_№_ПС_РП;Оперативный_№_ВЛ_КЛ;Время_откл;Время_вкл;Длительность_простоя_часы;Длительность_простоя_сек;Причина_откл;Недоотпуск_кВт_ч;Кол_во_потр_физ;Кол_во_потр_юрид;Погода_тип;Температура_C;Скорость_ветра_мс;Осадки;Потребители;Вид_ремонта;Балансовая_принадлежность
14988;2025-11-27;5;2;14:59:00;15:20:32;15.3591;55292;Падение дерева;125081;2227;411;туман;-5;1.0;нет;Северный мкр;текущий;ГорЭлектроСеть
14989;2025-03-16;11;178;15:12:00;14:00:56;14.0325;50516;Повреждение опоры;112789;2368;379;снегопад;-8;6.5;снег;ул. Толе би;аварийный;Частный
14990;2025-02-07;5;25;05:47:00;22:53:47;17.1132;61607;Грозовое перенапряжение;110205;1991;306;гроза;-18;10.8;дождь;ул. Пушкина;аварийный;РЭС
14991;2025-08-29;9;156;11:45:00;18:12:41;6.4614;23261;РПВ успешно;25123;1213;143;снег;32;4.5;снег;ул. Гагарина;плановый;Частный
14992;2025-11-20;17;2;10:45:00;16:18:47;16.3299;58787;Грозовое перенапряжение;69982;731;314;ясно;1;0.9;нет;мкр. Орбита;плановый;РЭС
14993;2025-02-27;105;67;21:35:00;03:07:30;3.1419;11310;Повреждение изолятора;26437;497;361;пасмурно;-11;4.8;нет;Южный мкр;капитальный;РЭС
14994;2025-09-03;11;15;03:14:00;16:01:05;12.7848;46025;Грозовое перенапряжение;37639;1012;121;туман;19;1.2;нет;ул. Жырау;аварийный;Частный
14995;2025-07-07;17;15;09:30:00;14:40:09;14.686;52869;Наезд авто на опору;49783;285;209;гроза;23;6.2;дождь;ул. Гагарина;текущий;Частный
14996;2025-07-18;158;156;14:57:00;16:28:01;16.4837;59341;Повреждение опоры;37650;2207;75;гроза;23;12.7;дождь;Южный мкр;аварийный;ЖКХ
14997;2025-10-26;110;45;10:56:00;15:49:30;4.8918;17610;Плановый ремонт;40588;1686;356;снег;4;5.9;снег;ул. Гагарина;текущий;ЖКХ
14998;2025-06-25;13;89;19:17:00;19:44:06;0.4517;1626;Плановый ремонт;347;21;36;снег;23;5.7;снег;ул. Валиханова;капитальный;ГорЭлектроСеть
14999;2025-01-24;110;2;01:44:00;06:18:52;4.5813;16492;Повреждение опоры;24278;1319;315;облачно;-18;5.0;нет;ул. Гагарина;аварийный;Частный
15000;2025-09-16;110;32;22:30:00;16:48:03;16.8177;60543;Отключение МТЗ (КЗ);17476;548;46;пасмурно;16;3.7;нет;промзона;текущий;Частный
15001;2025-06-16;15;178;16:53:00;08:14:54;8.2651;29754;Повреждение опоры;16241;1059;82;облачно;31;2.1;нет;Северный мкр;аварийный;РЭС
15002;2025-06-05;2;132;22:17:00;16:16:55;16.2987;58675;Грозовое перенапряжение;146922;1180;384;дождь;21;6.6;дождь;ул. Гагарина;текущий;Частный
15003;2025-04-01;101;156;15:52:00;18:46:31;2.9088;10471;Повреждение опоры;16529;1707;207;облачно;6;2.4;нет;ул. Валиханова;аварийный;ГорЭлектроСеть
15004;2025-12-26;3;156;11:36:00;14:02:00;14.0501;50580;Повреждение изолятора;25127;403;73;дождь;-19;4.9;дождь;Северный мкр;плановый;ЖКХ
15005;2025-05-26;7;25;20:26:00;03:51:43;3.8786;13963;Повреждение кабеля;15196;1767;203;гроза;24;8.8;дождь;ул. Жансугурова;плановый;ЖКХ
15006;2025-03-02;13;199;19:28:00;12:16:37;12.2936;44257;Отключение МТЗ;33563;1484;164;туман;-3;1.2;нет;ул. Жансугурова;текущий;ЖКХ
15007;2025-02-11;105;1;06:50:00;22:44:01;22.7504;81901;Отключение МТЗ (перегруз);132390;1728;400;облачно;-10;3.7;нет;ул. Сатпаева;плановый;ГорЭлектроСеть
15008;2025-04-22;17;199;22:43:00;02:26:28;2.4578;8848;Грозовое перенапряжение;13871;946;326;гроза;9;9.8;дождь;промзона;текущий;ГорЭлектроСеть
15009;2025-06-19;17;67;09:06:00;19:06:42;19.1285;68862;Повреждение опоры;134728;2429;233;ясно;28;0.5;нет;Южный мкр;текущий;ЖКХ
15010;2025-01-27;158;1;07:42:00;20:09:33;20.176;72633;Плановый ремонт;72481;635;175;пасмурно;-14;4.3;нет;ул. Жырау;текущий;ГорЭлектроСеть
15011;2025-01-06;3;89;03:18:00;14:50:20;11.539;41540;Падение дерева;81612;1140;444;облачно;-12;4.1;нет;мкр. Запад;капитальный;ГорЭлектроСеть
15012;2025-02-04;17;67;14:22:00;18:40:21;4.3059;15501;Плановый ремонт;26531;771;434;пасмурно;-16;5.7;нет;ул. Сатпаева;плановый;ЖКХ
15013;2025-09-09;9;156;11:20:00;21:41:06;21.7017;78126;Повреждение трансформатора;74781;377;201;снегопад;15;8.3;снег;ул. Жансугурова;текущий;Частный
15014;2025-07-21;17;45;21:41:00;16:32:35;16.5599;59615;Отключение МТЗ (КЗ);38826;1234;76;пасмурно;33;2.6;нет;ул. Пушкина;плановый;Частный
15015;2025-04-22;11;132;14:51:00;18:38:20;18.6558;67160;Повреждение трансформатора;109011;1013;253;ясно;9;1.2;нет;мкр. Орбита;текущий;РЭС
15016;2025-09-17;15;45;07:49:00;10:02:35;2.2265;8015;Повреждение изолятора;7517;1177;222;туман;15;0.4;нет;ул. Абая;аварийный;ЖКХ
15017;2025-03-19;11;25;10:43:00;16:07:50;16.1474;58130;Отключение МТЗ (перегруз);148827;1915;358;туман;-4;0.3;нет;Центральный р-н;капитальный;Частный
15018;2025-11-07;9;132;12:31:00;17:48:24;5.2901;19044;Обрыв провода;17350;107;219;снег;0;4.7;снег;мкр. Орбита;капитальный;ГорЭлектроСеть
15019;2025-12-22;102;32;14:18:00;16:28:17;16.4881;59357;Грозовое перенапряжение;125070;1502;419;гроза;-9;13.9;дождь;промзона;плановый;РЭС
15020;2025-03-27;13;45;19:29:00;21:31:55;21.5486;77575;Повреждение опоры;48803;2401;102;туман;-10;1.6;нет;мкр. Восток;аварийный;ЖКХ
15021;2025-01-02;102;178;21:46:00;18:15:45;18.2794;65805;Отключение МТЗ (КЗ);80211;981;212;гроза;-16;14.8;дождь;промзона;аварийный;ЖКХ
15022;2025-03-10;3;199;01:36:00;19:55:33;18.326;65973;Повреждение кабельной линии;110688;1789;441;пасмурно;5;3.3;нет;мкр. Восток;текущий;ГорЭлектроСеть
15023;2025-07-26;152;15;16:04:00;17:04:41;17.0949;61541;Обрыв провода;26945;2274;13;дождь;29;6.6;дождь;ул. Жырау;плановый;ГорЭлектроСеть
15024;2025-09-20;101;132;19:25:00;23:25:30;4.0085;14430;Грозовое перенапряжение;7701;1350;45;ясно;11;2.5;нет;мкр. Восток;капитальный;Частный
15025;2025-01-30;17;9;11:48:00;23:58:59;12.1831;43859;Обрыв провода;3334;160;12;снегопад;-16;6.0;снег;ТЭЦ-2;капитальный;ЖКХ
15026;2025-05-24;158;45;14:37:00;22:04:38;7.4606;26858;Грозовое перенапряжение;34697;1152;301;ясно;23;2.3;нет;мкр. Восток;капитальный;РЭС
15027;2025-01-21;158;132;07:35:00;09:08:11;1.5532;5591;Отключение МТЗ (КЗ);3495;2438;27;снегопад;-19;4.6;снег;Южный мкр;аварийный;ГорЭлектроСеть
15028;2025-04-24;152;9;00:58:00;16:11:06;15.2185;54786;Наезд авто на опору;40005;819;103;гроза;4;8.0;дождь;мкр. Запад;капитальный;Частный
15029;2025-03-23;3;132;04:11:00;10:45:32;6.5756;23672;Грозовое перенапряжение;71420;1356;441;дождь;5;3.9;дождь;ул. Толе би;капитальный;РЭС
15030;2025-02-23;152;2;18:44:00;23:25:29;4.6916;16889;Повреждение кабеля;40982;2238;336;ясно;-10;0.4;нет;Центральный р-н;капитальный;ГорЭлектроСеть
15031;2025-04-26;102;32;10:59:00;20:44:19;9.7554;35119;Отключение МТЗ (перегруз);13803;1362;53;пасмурно;6;5.5;нет;Южный мкр;плановый;ГорЭлектроСеть
15032;2025-05-11;101;132;00:41:00;20:25:42;19.7451;71082;РПВ успешно;19300;957;44;туман;20;0.3;нет;ул. Жырау;капитальный;ЖКХ
15033;2025-10-05;7;89;17:08:00;18:29:10;18.5028;66610;Наезд авто на опору;63754;2101;87;облачно;2;1.0;нет;ул. Пушкина;капитальный;ГорЭлектроСеть
15034;2025-02-05;101;156;05:06:00;16:29:01;11.3837;40981;Грозовое перенапряжение;38991;1608;186;гроза;-11;13.9;дождь;ул. Абая;текущий;ГорЭлектроСеть
15035;2025-09-17;9;178;21:12:00;17:48:45;17.8294;64185;Грозовое перенапряжение;81505;890;271;гроза;25;12.4;дождь;ул. Пушкина;капитальный;ЖКХ
15036;2025-01-14;158;32;18:44:00;23:17:34;4.5595;16414;Плановый ремонт;41440;1238;389;снегопад;-23;4.5;снег;ул. Толе би;капитальный;ГорЭлектроСеть
15037;2025-11-14;7;25;05:47:00;15:21:31;9.5755;34471;Авария на подстанции;59409;796;295;гроза;-4;14.6;дождь;Центральный р-н;плановый;ГорЭлектроСеть
15038;2025-10-26;5;2;16:31:00;16:05:03;16.1009;57963;Отключение МТЗ (КЗ);84953;1903;230;дождь;13;6.0;дождь;мкр. Орбита;капитальный;РЭС
15039;2025-04-19;158;156;00:33:00;11:36:20;11.0558;39800;Повреждение опоры;44505;833;190;туман;13;1.6;нет;Северный мкр;текущий;ГорЭлектроСеть
15040;2025-06-20;3;25;12:53:00;19:24:53;19.4316;69953;Грозовое перенапряжение;44627;1554;91;облачно;28;4.9;нет;промзона;плановый;РЭС
15041;2025-09-18;3;199;20:54:00;08:37:14;8.6373;31094;Отключение МТЗ;24691;1836;113;гроза;21;8.3;дождь;ул. Пушкина;текущий;РЭС
15042;2025-08-25;3;199;19:19:00;23:02:47;3.73;13427;Повреждение кабеля;3757;1525;25;пасмурно;27;4.1;нет;промзона;плановый;ЖКХ
15043;2025-02-21;158;15;04:07:00;12:11:31;8.0753;29071;Повреждение трансформатора;34789;1043;191;гроза;-8;8.0;дождь;мкр. Орбита;капитальный;ЖКХ
15044;2025-09-08;101;132;21:10:00;21:35:04;21.6013;77764;Повреждение трансформатора;29326;344;92;гроза;25;10.0;дождь;мкр. Орбита;капитальный;Частный
15045;2025-03-02;15;156;23:53:00;15:04:48;15.0968;54348;Повреждение опоры;73088;1269;263;туман;2;0.5;нет;ул. Абая;капитальный;ЖКХ
15046;2025-04-16;5;1;15:18:00;17:20:31;17.3586;62491;Плановый ремонт;134667;1772;311;облачно;14;1.4;нет;ул. Валиханова;плановый;РЭС
15047;2025-10-23;105;25;15:00:00;17:58:12;2.9701;10692;РПВ успешно;31452;1948;433;гроза;3;8.4;дождь;мкр. Запад;текущий;ЖКХ
15048;2025-12-06;13;178;03:33:00;20:00:17;16.4549;59237;Грозовое перенапряжение;53714;1233;143;ясно;-12;2.7;нет;ул. Гагарина;текущий;РЭС
15049;2025-04-18;152;1;10:20:00;23:38:57;23.6659;85197;Обрыв провода;158640;2209;229;снег;5;5.4;снег;ул. Сатпаева;аварийный;ЖКХ
15050;2025-05-30;101;25;17:44:00;21:39:04;21.668;78004;Повреждение изолятора;98547;1925;155;пасмурно;19;3.9;нет;ул. Гагарина;капитальный;Частный
15051;2025-10-19;105;156;15:40:00;12:53:08;12.9024;46448;РПВ успешно;60513;579;364;пасмурно;6;4.9;нет;ул. Валиханова;аварийный;РЭС
15052;2025-06-20;17;178;03:05:00;12:48:12;9.7202;34992;Обрыв провода;31488;12;181;снегопад;30;8.0;снег;ул. Жансугурова;текущий;РЭС
15053;2025-02-14;102;9;18:02:00;23:30:15;23.5208;84675;Грозовое перенапряжение;134310;58;420;гроза;-7;6.3;дождь;Центральный р-н;капитальный;РЭС
15054;2025-12-19;7;89;21:22:00;22:28:08;22.4856;80948;Грозовое перенапряжение;88038;1922;239;пасмурно;-7;4.5;нет;ул. Сатпаева;плановый;РЭС
15055;2025-11-04;11;67;11:27:00;23:43:30;23.7417;85470;Отключение МТЗ;153497;2234;379;облачно;2;2.2;нет;ул. Жансугурова;аварийный;РЭС
15056;2025-11-14;9;199;23:52:00;14:58:40;14.9945;53980;РПВ успешно;92079;1174;415;пасмурно;1;5.6;нет;мкр. Орбита;аварийный;РЭС
15057;2025-12-25;2;67;08:56:00;09:33:23;0.6231;2243;Обрыв провода;2304;2119;165;снегопад;-17;4.3;снег;Южный мкр;капитальный;Частный
15058;2025-10-13;5;178;11:37:00;12:04:17;0.455;1637;Повреждение кабельной линии;1196;470;195;дождь;10;8.0;дождь;ТЭЦ-2;капитальный;Частный
15059;2025-03-04;105;8;23:04:00;07:51:54;7.8819;28374;Повреждение трансформатора;55550;1157;370;ясно;1;1.3;нет;ул. Абая;текущий;ЖКХ
15060;2025-08-15;15;178;17:15:00;23:37:09;6.3692;22929;Отключение МТЗ (перегруз);29206;2488;177;гроза;25;10.2;дождь;ул. Пушкина;плановый;ГорЭлектроСеть
15061;2025-05-05;2;32;18:15:00;19:39:49;1.4139;5089;Повреждение опоры;7339;2393;285;пасмурно;21;5.3;нет;мкр. Орбита;аварийный;Частный
15062;2025-11-13;2;2;12:10:00;20:42:56;8.549;30776;Повреждение кабельной линии;18101;1314;100;облачно;-6;1.2;нет;ул. Сатпаева;капитальный;ЖКХ
15063;2025-06-23;110;1;08:38:00;21:42:44;21.7289;78224;Обрыв провода;166786;2469;313;снегопад;26;7.7;снег;ул. Толе би;плановый;РЭС
15064;2025-06-24;105;178;08:24:00;19:06:47;10.7131;38567;Отключение МТЗ (КЗ);23421;2331;31;гроза;27;7.7;дождь;ул. Жырау;аварийный;РЭС
15065;2025-06-19;9;156;15:27:00;22:08:49;6.6972;24109;Отключение МТЗ (КЗ);14755;755;101;пасмурно;32;3.3;нет;ул. Жансугурова;текущий;РЭС
15066;2025-08-20;15;1;07:44:00;14:13:36;6.4935;23376;Плановый ремонт;45368;1589;449;ясно;19;1.5;нет;ул. Толе би;плановый;Частный
15067;2025-03-31;102;2;20:18:00;12:30:03;12.5177;45063;Обрыв провода;39708;1472;210;ясно;4;0.6;нет;промзона;текущий;РЭС
15068;2025-03-21;5;89;11:55:00;16:21:48;16.3802;58968;Повреждение изолятора;152412;483;404;дождь;-4;6.1;дождь;ул. Сатпаева;капитальный;Частный
15069;2025-05-13;15;178;10:15:00;14:23:38;4.144;14918;Обрыв провода;21138;828;241;туман;11;1.3;нет;промзона;капитальный;ГорЭлектроСеть
15070;2025-03-27;13;89;04:10:00;19:57:15;19.9709;71895;Отключение МТЗ (КЗ);108302;576;368;дождь;-5;3.0;дождь;мкр. Орбита;аварийный;Частный
15071;2025-07-04;13;45;13:45:00;19:03:56;19.0825;68696;Повреждение опоры;125040;2231;443;ясно;31;1.2;нет;промзона;аварийный;ГорЭлектроСеть
15072;2025-03-23;101;45;07:01:00;10:58:51;3.9644;14271;Повреждение кабеля;25719;1558;315;пасмурно;-3;2.7;нет;ул. Пушкина;текущий;ЖКХ
15073;2025-10-20;102;8;00:12:00;01:06:09;0.9027;3249;Грозовое перенапряжение;3328;1367;192;гроза;3;7.8;дождь;ул. Абая;капитальный;РЭС
15074;2025-10-21;3;25;07:26:00;09:30:03;2.0676;7443;Наезд авто на опору;7836;1744;184;ясно;13;2.6;нет;ул. Абая;капитальный;Частный
15075;2025-05-23;101;132;23:26:00;23:28:16;23.4879;84556;Отключение МТЗ (КЗ);43005;1501;81;снегопад;10;9.5;снег;мкр. Восток;капитальный;Частный
15076;2025-01-27;102;8;00:02:00;06:33:38;6.5273;23498;РПВ успешно;44905;719;304;снегопад;-21;4.6;снег;ул. Жырау;капитальный;Частный
15077;2025-08-24;110;1;20:26:00;11:48:11;11.8198;42551;РПВ успешно;59961;2174;312;снегопад;31;8.3;снег;ул. Валиханова;плановый;ГорЭлектроСеть
15078;2025-09-14;101;199;02:05:00;21:58:54;19.8984;71634;Повреждение трансформатора;103713;344;367;облачно;14;4.2;нет;ул. Жансугурова;текущий;Частный
15079;2025-07-18;152;15;09:50:00;20:16:17;20.2883;73037;Отключение МТЗ;28335;47;87;пасмурно;30;4.2;нет;мкр. Запад;текущий;Частный
15080;2025-10-14;101;2;16:33:00;08:56:09;8.9527;32229;Падение дерева;52576;849;386;снег;5;5.4;снег;Северный мкр;аварийный;Частный
15081;2025-09-01;5;25;11:31:00;21:10:38;9.6606;34778;Повреждение кабеля;16046;456;70;гроза;10;7.9;дождь;ул. Пушкина;капитальный;Частный
15082;2025-07-12;101;156;08:20:00;13:20:12;5.0036;18012;Авария на подстанции;32532;2139;405;облачно;31;1.2;нет;ТЭЦ-2;текущий;Частный
15083;2025-07-09;152;8;19:42:00;15:35:08;15.6023;56168;РПВ успешно;27140;137;83;пасмурно;30;4.5;нет;Центральный р-н;плановый;Частный
15084;2025-09-07;13;199;13:27:00;22:21:36;22.3769;80556;РПВ успешно;100635;1192;197;ясно;12;2.7;нет;ул. Сатпаева;капитальный;Частный
15085;2025-10-14;13;67;15:18:00;15:57:15;15.971;57495;Падение дерева;39148;2157;59;снег;2;4.2;снег;мкр. Орбита;капитальный;ЖКХ
15086;2025-05-01;5;2;17:52:00;20:39:50;2.7973;10070;Падение дерева;10559;1105;228;облачно;15;5.0;нет;ул. Валиханова;плановый;ЖКХ
15087;2025-11-13;11;67;04:42:00;11:28:01;6.767;24361;Отключение МТЗ;30578;1126;290;облачно;-6;3.3;нет;ул. Гагарина;аварийный;ГорЭлектроСеть
15088;2025-07-26;158;178;22:47:00;12:21:13;12.3704;44533;Повреждение изолятора;68403;396;302;гроза;22;12.3;дождь;ул. Пушкина;плановый;ЖКХ
15089;2025-12-01;7;67;01:45:00;17:04:05;15.3183;55145;Отключение МТЗ (КЗ);88884;747;252;ясно;-18;1.4;нет;мкр. Орбита;плановый;Частный
15090;2025-08-05;15;45;19:34:00;06:22:33;6.3927;23013;Наезд авто на опору;26660;697;294;снег;30;3.5;снег;ул. Жансугурова;капитальный;ЖКХ
15091;2025-09-01;158;8;12:34:00;20:13:33;20.2425;72873;Авария на подстанции;55204;154;205;дождь;21;3.8;дождь;ул. Пушкина;плановый;ГорЭлектроСеть
15092;2025-07-16;105;25;15:52:00;20:23:33;20.4092;73473;Повреждение кабельной линии;184839;621;445;снегопад;27;9.6;снег;ул. Сатпаева;аварийный;ЖКХ
15093;2025-12-13;15;8;18:37:00;10:55:52;10.9479;39412;Падение дерева;79360;1185;319;снег;-11;5.5;снег;ул. Пушкина;аварийный;ЖКХ
15094;2025-02-26;17;89;20:12:00;14:17:24;14.3067;51504;Наезд авто на опору;91357;1380;386;снегопад;-9;10.4;снег;ул. Пушкина;аварийный;Частный
15095;2025-03-05;15;67;21:15:00;23:56:50;23.9641;86270;Авария на подстанции;171769;140;416;снег;-6;2.2;снег;ул. Жырау;плановый;Частный
15096;2025-07-04;110;2;10:25:00;18:25:41;18.4448;66401;Авария на подстанции;114051;1049;312;облачно;23;1.4;нет;мкр. Восток;аварийный;ГорЭлектроСеть
15097;2025-09-11;15;178;18:37:00;10:41:47;10.7132;38567;Отключение МТЗ;23281;746;143;снег;10;3.3;снег;промзона;текущий;РЭС
15098;2025-05-27;13;132;15:50:00;09:11:13;9.2036;33133;Отключение МТЗ;28932;1225;218;гроза;22;10.7;дождь;мкр. Жастар;капитальный;ЖКХ
15099;2025-12-19;17;199;23:29:00;22:51:46;22.8795;82366;Отключение МТЗ (КЗ);148220;594;361;ясно;-8;1.2;нет;промзона;капитальный;Частный
15100;2025-11-27;158;1;12:14:00;21:45:35;21.7766;78395;Грозовое перенапряжение;115842;1375;312;облачно;-7;1.0;нет;ул. Толе би;текущий;ЖКХ
15101;2025-08-10;2;45;20:12:00;20:12:42;20.2286;72822;Повреждение опоры;24436;547;73;облачно;31;2.2;нет;Южный мкр;капитальный;РЭС
15102;2025-07-03;13;32;21:00:00;13:48:56;13.8325;49796;Отключение МТЗ (перегруз);74997;1219;284;снегопад;31;9.3;снег;промзона;аварийный;ЖКХ
15103;2025-12-02;152;199;18:46:00;16:12:36;16.2267;58416;Падение дерева;88284;720;349;облачно;-5;4.9;нет;Южный мкр;капитальный;ЖКХ
15104;2025-10-12;105;1;02:21:00;20:48:09;18.4526;66429;Повреждение кабеля;71323;573;218;ясно;9;0.4;нет;ТЭЦ-2;аварийный;Частный
15105;2025-09-23;2;9;02:51:00;03:51:04;1.0011;3604;Отключение МТЗ (КЗ);4593;2180;187;снегопад;25;6.6;снег;ул. Абая;плановый;ЖКХ
15106;2025-05-10;105;132;20:01:00;23:10:39;3.1611;11379;Повреждение трансформатора;3432;1147;29;облачно;18;3.2;нет;Южный мкр;плановый;РЭС
15107;2025-06-13;7;67;08:58:00;18:29:25;18.5071;66625;Отключение МТЗ (КЗ);175072;2290;354;гроза;22;6.1;дождь;мкр. Восток;плановый;ЖКХ
15108;2025-06-27;152;2;12:45:00;12:08:07;12.1521;43747;Отключение МТЗ;59094;848;212;туман;30;0.9;нет;ТЭЦ-2;плановый;ЖКХ
15109;2025-06-25;101;156;07:37:00;19:45:37;12.1438;43717;Авария на подстанции;69205;2227;197;дождь;28;4.2;дождь;Северный мкр;текущий;ГорЭлектроСеть
15110;2025-03-17;102;2;04:22:00;21:07:49;21.1472;76129;Плановый ремонт;119325;2453;353;пасмурно;3;4.7;нет;ул. Абая;капитальный;ГорЭлектроСеть
15111;2025-06-05;9;89;18:29:00;19:40:28;19.6912;70888;Падение дерева;77951;1755;219;облачно;31;4.2;нет;Центральный р-н;плановый;ГорЭлектроСеть
15112;2025-04-09;2;199;14:53:00;21:11:14;6.304;22694;Авария на подстанции;43248;1931;282;снегопад;3;5.4;снег;Южный мкр;текущий;РЭС
15113;2025-05-26;7;1;18:36:00;16:37:16;16.6379;59896;Повреждение изолятора;116223;2236;393;туман;25;0.8;нет;ул. Жансугурова;капитальный;РЭС
15114;2025-08-02;105;199;20:24:00;06:36:40;6.628;23860;Плановый ремонт;7968;895;41;туман;21;0.3;нет;ул. Жансугурова;капитальный;ГорЭлектроСеть
15115;2025-04-29;158;1;03:42:00;08:38:32;4.9424;17792;Отключение МТЗ (КЗ);19077;1009;265;снег;2;3.1;снег;ул. Гагарина;текущий;РЭС
15116;2025-09-18;101;2;23:27:00;22:38:05;22.6516;81545;Повреждение трансформатора;92656;1897;235;ясно;25;2.7;нет;мкр. Жастар;текущий;РЭС
15117;2025-11-17;105;132;03:50:00;19:52:12;16.0369;57732;Отключение МТЗ (КЗ);101327;1412;400;облачно;-7;2.0;нет;Центральный р-н;плановый;ГорЭлектроСеть
15118;2025-04-09;13;15;19:48:00;22:35:18;22.6052;81378;Авария на подстанции;135195;915;249;ясно;13;1.0;нет;Центральный р-н;плановый;ГорЭлектроСеть
15119;2025-08-18;102;2;21:27:00;13:08:29;13.1582;47369;Плановый ремонт;82794;2364;281;туман;27;1.5;нет;мкр. Восток;капитальный;РЭС
15120;2025-06-19;13;32;00:20:00;08:18:02;7.9673;28682;Отключение МТЗ;10836;1794;23;снег;26;3.2;снег;мкр. Восток;текущий;ГорЭлектроСеть
15121;2025-07-03;3;199;15:50:00;12:43:36;12.7435;45876;Грозовое перенапряжение;55719;970;163;дождь;33;5.8;дождь;мкр. Восток;аварийный;РЭС
15122;2025-01-14;110;45;16:07:00;10:59:25;11.0072;39625;Отключение МТЗ (перегруз);26296;1559;68;снег;-8;5.2;снег;ул. Абая;текущий;ГорЭлектроСеть
15123;2025-04-07;7;132;13:53:00;18:56:39;5.061;18219;Повреждение кабельной линии;20167;2150;206;туман;6;0.2;нет;мкр. Восток;текущий;ЖКХ
15124;2025-07-24;2;8;15:17:00;11:32:48;11.5635;41628;Повреждение кабеля;19551;615;72;снег;21;4.4;снег;мкр. Жастар;плановый;РЭС
15125;2025-06-01;9;67;18:25:00;19:25:09;1.0026;3609;Повреждение кабельной линии;5485;1444;279;ясно;29;0.3;нет;ул. Сатпаева;текущий;Частный
15126;2025-11-02;152;25;05:01:00;05:38:11;0.6198;2231;Обрыв провода;1715;891;121;гроза;2;11.9;дождь;Центральный р-н;плановый;Частный
15127;2025-01-25;9;89;15:20:00;23:58:17;23.9881;86357;Повреждение изолятора;119863;1779;171;гроза;-18;12.9;дождь;ул. Лермонтова;аварийный;РЭС
15128;2025-02-05;105;8;22:49:00;19:47:08;19.8022;71288;Грозовое перенапряжение;75316;700;260;туман;-18;0.2;нет;промзона;аварийный;ГорЭлектроСеть
15129;2025-12-03;11;156;10:09:00;13:27:23;3.3066;11903;Повреждение трансформатора;16462;1570;194;облачно;-13;3.1;нет;Центральный р-н;текущий;ЖКХ
15130;2025-01-14;5;32;17:25:00;08:41:27;8.7078;31347;Отключение МТЗ (КЗ);1919;68;11;гроза;-14;5.3;дождь;ул. Пушкина;аварийный;РЭС
15131;2025-12-11;11;15;23:23:00;01:26:57;1.4661;5277;Отключение МТЗ (КЗ);8343;508;340;гроза;-18;12.4;дождь;Северный мкр;плановый;ГорЭлектроСеть
15132;2025-10-14;9;25;17:32:00;14:59:42;15.0117;54042;Падение дерева;40887;1389;174;облачно;9;4.1;нет;мкр. Жастар;капитальный;ГорЭлектроСеть
15133;2025-01-19;102;2;15:56:00;23:07:25;23.1403;83305;Грозовое перенапряжение;70725;208;131;снегопад;-11;12.0;снег;мкр. Запад;аварийный;РЭС
15134;2025-08-14;9;67;08:03:00;13:13:04;5.1679;18604;Плановый ремонт;16550;1495;198;дождь;28;6.8;дождь;ул. Абая;аварийный;РЭС
15135;2025-05-27;3;132;06:06:00;20:19:14;14.2208;51194;Повреждение кабельной линии;19717;930;36;снег;24;5.8;снег;мкр. Запад;капитальный;Частный
15136;2025-02-04;5;156;23:50:00;02:47:29;2.8082;10109;Плановый ремонт;7423;602;147;облачно;-16;1.8;нет;ул. Гагарина;аварийный;РЭС
15137;2025-04-11;158;25;11:49:00;12:18:22;0.4896;1762;Повреждение изолятора;805;1733;74;снег;3;2.7;снег;мкр. Запад;текущий;Частный
15138;2025-01-18;9;178;14:18:00;16:28:44;16.4958;59384;Повреждение изолятора;23893;307;101;туман;-11;1.2;нет;промзона;плановый;ЖКХ
15139;2025-12-10;158;25;14:34:00;23:04:39;23.0943;83139;Отключение МТЗ;176167;1189;378;пасмурно;-6;5.4;нет;ул. Жырау;плановый;ГорЭлектроСеть
15140;2025-10-08;13;156;12:51:00;19:58:41;19.9948;71981;Отключение МТЗ (КЗ);165387;173;446;гроза;11;12.4;дождь;мкр. Жастар;плановый;Частный
15141;2025-08-28;2;132;06:02:00;21:10:15;21.1877;76275;Повреждение изолятора;92032;2164;128;дождь;33;5.9;дождь;Южный мкр;текущий;Частный
15142;2025-01-06;105;9;22:48:00;16:34:30;16.5917;59730;Повреждение кабеля;20628;1007;66;дождь;-22;4.7;дождь;ул. Пушкина;аварийный;РЭС
15143;2025-05-01;17;1;23:40:00;11:26:50;11.4641;41270;Отключение МТЗ (перегруз);95405;820;357;снегопад;19;5.2;снег;мкр. Восток;плановый;ЖКХ
15144;2025-06-17;11;2;22:59:00;23:54:31;0.9253;3331;Наезд авто на опору;1361;1554;37;ясно;30;1.4;нет;промзона;текущий;ЖКХ
15145;2025-11-01;3;25;22:35:00;01:41:13;1.7037;6133;Повреждение кабельной линии;11072;2071;335;гроза;-6;14.0;дождь;мкр. Жастар;аварийный;РЭС
15146;2025-05-28;9;25;22:04:00;20:10:17;20.1882;72677;Повреждение опоры;103635;1590;182;снегопад;11;10.7;снег;ТЭЦ-2;текущий;ГорЭлектроСеть
15147;2025-03-14;3;25;11:15:00;18:51:20;18.8723;67940;Отключение МТЗ (КЗ);43730;1705;52;дождь;-8;5.1;дождь;ТЭЦ-2;аварийный;Частный
15148;2025-07-18;13;156;15:13:00;18:25:58;3.2163;11578;Повреждение опоры;16777;766;226;снег;22;3.2;снег;ул. Жансугурова;плановый;ГорЭлектроСеть
